icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
151db5,1662203231.0,,1662211887,,AFL1135 ,,,UUEE,,777-300(ER) ,B77W,RA-73141
393324,1662194951.0,1662194952.0,1662198650,1662198666.0,AFR67VQ ,LFBO,LFBO,LFPG,LFPG,A321 111,A321,F-GMZE
a58c7a,1662215531.0,,1662216756,,N457DT  ,KEVB,,21FA,,A36,,N457DT
a4f905,1662219650.0,,1662221950,,N4198F  ,KBDR,,KBID,,PA-28-181,,N4198F
aa2e2d,1662166699.0,,1662172991,,SWA2492 ,KMDW,,KSFZ,,737-7H4,B737,N755SA
40794f,1662218792.0,,1662221109,,GFITC   ,EGCB,,EGSW,,Pilatus PC-12 NG,PC12,G-FITC
400eff,1662184593.0,1662184555.0,1662191109,,EZY17VA ,EGKK,EGKK,,LIEO,AIRBUS A319-111,A319,G-EZBE
a22ac6,1662226992.0,,1662233241,,RPA5851 ,KLGA,,,,ERJ 170-200 LR,,N239JQ
a2cb5e,1662167193.0,,1662174830,,N2798C  ,KOXR,,KOAK,,R182,,N2798C
aba8d7,1662241280.0,,1662245435,,N850RH  ,KMKC,,KFSD,,TBM 700,TBM8,N850RH
a55a08,1662167880.0,,1662171298,,N444FT  ,,,KBUR,,PC-12/45,PC12,N444FT
a43e60,1662162612.0,,1662173217,,UAL704  ,KIAH,,KEWR,,737-8,,N37257
461fa2,1662200491.0,,1662208907,,BAW8TK  ,EPKK,,EGLL,,A321 231SL,A321,OH-LZM
a9bc69,1662237886.0,,1662240017,,N7261Z  ,K3A1,,2AL7,,172S,,N7261Z
abbd2d,1662214789.0,,1662217018,,SWA292  ,KMCO,,,,737-800,B738,N8556Z
a6152a,1662159673.0,,1662164318,,EDV5203 ,CYYZ,,KLGA,,CL-600-2D24,,N491PX
498b22,1662194919.0,,1662196002,,KR01    ,LKPR,,LKVL,,Eurocopter EC135 T2,EC35,OK-BYB
a03a0b,1662225038.0,,1662230778,,N1132W  ,KBJC,,KBJC,,172S,C172,N1132W
4857b3,1662223393.0,,1662224094,,LIFELN1 ,EHAM,,EHAM,,Airbus Helicopters H135,,PH-TTR
a48048,1662225806.0,,1662228358,,N38986  ,KBTF,,UT48,,PA-28-161,,N38986
abaadd,1662164258.0,,1662172619,,SWA165  ,,,KAUS,,737-800,B738,N8508W
ac0535,1662160449.0,,1662163251,,WCP310  ,KFPR,,FL56,,PA-28-181,,N874AC
a6c6d0,1662206592.0,,1662211763,,N536B   ,KTYS,,KJYO,,SF50,,N536B
7609c5,1662186781.0,,1662190251,,SEP1808 ,,,,,Airbus A330-202,A332,AP-BNE
8a0827,1662174299.0,,1662175345,,BTK6812 ,,,,,Boeing 737-8GP,B738,PK-LDJ
a99403,1662185321.0,,1662189069,,CTL4    ,KOPF,,KTPA,,500-B,,N716TC
a7b13f,1662234779.0,,1662237585,,N595P   ,KTYS,,KCMH,,FALCON 2000EX,,N595P
884208,1662194541.0,,1662195704,,BKP274  ,,,VTBS,,A320 232,A320,HS-PPH
a13501,1662221101.0,,1662225297,,AAL2603 ,KMSY,,KDFW,,A321-211,A321,N177US
3432c5,1662210753.0,,1662212030,,SWT7773 ,LEPA,,LEMH,,ATR 72 500,AT75,EC-KVI
0100e5,1662156264.0,,1662164364,,MSC804  ,LIMC,,,,A320 214,A320,SU-BPV
a16a34,1662222630.0,,1662225059,,N190WW  ,OH97,,OI41,,SHORTS SC7 SKYVAN,,N190WW
a6bbe1,1662216724.0,,1662217367,,N533DD  ,,,KHWO,,PA-28-181,,N533DD
a752cf,1662204598.0,,1662214036,,N571H   ,II87,,KAIG,,RV 7,,N571H
acbcfc,1662154954.0,,1662164757,,N92MZ   ,KBTA,,KCBF,,,,
a83c37,1662216319.0,,1662218571,,N63JM   ,,,KOUN,,A36TC,,N63JM
a40ddd,1662198193.0,,1662201703,,SNC1612 ,KSDF,,KDEC,,SHORTS SD3-60,SH36,N360SA
8990cf,1662172614.0,,1662176789,,EVA867  ,RCTP,,VHHH,,A330 302X,A333,B-16332
e493e5,1662164342.0,,1662165586,,AZU4448 ,,,SBKP,,,,
7586ce,1662137926.0,,1662164023,,CEB039  ,RPLL,,YSSY,,A330-941 ,A339,RP-C3901 
3c66b3,1662199808.0,1662199809.0,1662203127,1662203131.0,DLH1M   ,EDDH,EDDH,EDDM,EDDM,A320 214SL,A320,D-AIUS
4ba8c3,1662216632.0,,1662219022,,THY18N  ,,,,,737NG 8F2/W,B738,TC-JFC
acf703,1662237781.0,,1662239028,,N9341C  ,KAHH,,KSGS,,PA-28-181,,N9341C
151ecc,1662207409.0,,1662212632,,SBI1157 ,UUDD,,USPP,,,,RA-73420
c828ea,1662170942.0,,1662173126,,ANZ751M ,NZCH,,,,ATR 72-600,AT76,ZK-MZE
86cf09,1662186515.0,,1662190101,,SNJ60   ,,,RJTT,,737NG 86N/W,B738,JA805X
a23ef1,1662171892.0,,1662175077,,AER961  ,,,PANC,,1900C,,N244AX
a6d27b,1662206555.0,,1662208650,,GJS4450 ,KEWR,,KACK,,CL-600-2C11,,N539GJ
4b1a5f,1662232561.0,,1662236056,,EZS29WA ,,,LSGG,,A320 214,A320,HB-JZR
a71e5c,1662202241.0,,1662205342,,JIA5104 ,KHSV,,SC08,,CL-600-2D24,CRJ9,N558NN
c04b5c,1662166809.0,,1662168952,,WSW2214 ,,,CYEG,,737-36Q (Boeing),B733,C-GCNZ
800d6e,1662194509.0,,1662199507,,IGO609  ,,,,,Airbus A320-271N,A20N,VT-IJA
ac9be4,1662207302.0,,1662209171,,N911RL  ,KSUO,,KRAP,,C90A,BE9L,N911RL
4070ec,1662228172.0,,1662236247,,EXS3UZ  ,EGBB,,LEAL,,BOEING 737-800,B738,G-JZHY
780a6c,1662180173.0,,1662192299,,CRK618  ,VHHH,,RJBB,,A330 343E,A333,B-LNO
406a05,1662159749.0,,1662185208,,BAW20R  ,KORD,,EGLL,,AIRBUS A380-841,A388,G-XLEF
a273f5,1662230086.0,,1662235908,,UAL1705 ,KORD,,KEWR,,737-724,B737,N25705
a70333,1662148654.0,,1662163404,,ASA1023 ,KSFO,,PANC,,737-890,B738,N551AS
4d22e5,1662192890.0,,1662207557,,AXY823E ,,,LFMN,,Embraer Legacy 650,E35L,9H-GIB
a851db,1662221291.0,,1662224685,,RPA3507 ,KPWM,,KEWR,,ERJ 170-100 SE,E170,N635RW
4baad6,1662184449.0,,1662195267,,THY95AN ,,,LFNR,,737NG 8F2/W,B738,TC-JVV
15202e,1662213255.0,,1662219629,,AFL2933 ,,,,,Airbus A320-214,A320,RA-73774
7c6a5e,1662181627.0,,1662182612,,RSCU52  ,YPPF,,YPAD,,412 EP,B412,VH-VAO
a32e6e,1662209978.0,,1662211235,,CAP1904 ,31MA,,MA52,,172S,,N304CP
39cea0,1662226393.0,,1662231014,,TVF7351 ,,,LFRS,,737NG 8K2/W,B738,F-HTVA
a69c03,1662210704.0,,1662224239,,FDX3647 ,KOAK,,KIND,,MD-11F,MD11,N525FE
7c6d26,1662173199.0,,1662179330,,VOZ418  ,YSSY,,YPAD,,737NG 8FE/W,B738,VH-VUG
461e18,1662204755.0,,1662205871,,FIN5RG  ,EFHK,,EETN,,EMB-190 LR,E190,OH-LKI
a20d8d,1662238443.0,,1662239917,,N231PS  ,KFPR,,FL56,,M20K,,N231PS
c06a83,1662202364.0,,1662225936,,TSC729  ,EGKK,,CYUL,,A321-271NX,,C-GOIS
ab674b,1662240042.0,,1662242428,,AAL1089 ,KDCA,,,,A319-132,A319,N834AW
8013a3,1662212166.0,,1662216193,,VTI977  ,VIDP,,,,A320-251N,A20N,VT-TNU
a56862,1662214563.0,,1662223075,,AAL1681 ,KMIA,,KPHL,,A321-253NX,,N448AN
151de7,1662200741.0,,1662208213,1662208227.0,SDM6388 ,,UMKK,UUEE,UUEE,Boeing 737-8AS,B738,RA-73191
a9d7ca,1662214266.0,,1662215498,,N733SK  ,K2W6,,K2W6,,172N,,N733SK
4b028c,1662204606.0,1662204628.0,1662207280,1662207277.0,SWR855W ,LSZH,LSZH,LIPZ,LIPZ,E190-E2,E290,HB-AZC
a7d43c,1662226951.0,,1662232816,,SKW5601 ,KDEN,,,,ERJ 170-200 LL,,N603UX
a959df,1662167116.0,,1662168558,,SKW4961 ,,,KDFW,,CL-600-2C10,CRJ7,N701SK
5082f0,1662217125.0,1662217126.0,1662221819,,AUI6521 ,EPKT,EPKT,,LATI,737NG 94XER,B739,UR-PSL
4007f1,1662168263.0,,1662196645,,BAW2038 ,KMCO,,EGKK,,BOEING 777-236,B772,G-YMMF
71c317,1662171416.0,,1662177854,,JJA1106 ,RKSI,,,,Boeing 737-8LC,B738,HL8317
40749e,1662195929.0,,1662205464,,GWZAP   ,EGSS,,LPFR,,,,
345250,1662235355.0,1662235358.0,1662240617,1662240618.0,ANE69UK ,LEVX,LEVX,LEPA,LEPA,CRJ 1000 NG,CRJX,EC-MLC
a981c4,1662233449.0,,1662235742,,N711WM  ,KLAS,,KHHR,,BD-700-1A10,CRJ2,N711WM
48c2a5,1662209821.0,,1662215538,,RYR27HT ,EPKK,,,,737 MAX 8,B38M,SP-RZF
a7d085,1662234438.0,,1662235375,,SKW4712 ,KDEN,,,,ERJ 170-200 LL,,N602UX
